Ano_Mes,Date,Month_English,Quarter Name,Quarter_English,Semester Name,Semester_English
2016/jul,2016-07-17 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-18 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-19 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-20 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-21 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-22 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-23 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-24 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-25 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-26 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-27 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-28 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-29 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-30 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jul,2016-07-31 00:00:00,July,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2016/jun,2016-06-01 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-02 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-03 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-04 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-05 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-06 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-07 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-08 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-09 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-10 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-11 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-12 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-13 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-14 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-15 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-16 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-17 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-18 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-19 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-20 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-21 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-22 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-23 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-24 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-25 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
2016/jun,2016-06-26 00:00:00,June,2º Trimestre,2º Quarter,1º Semestre,1º Semester
