Ano_Mes,Date,Month_English,Quarter Name,Quarter_English,Semester Name,Semester_English
2018/out,2018-10-11 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-12 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-13 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-14 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-15 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-16 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-17 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-18 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-19 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-20 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-21 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-22 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-23 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-24 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-25 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-26 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-27 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-28 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-29 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-30 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/out,2018-10-31 00:00:00,October,4º Trimestre,4º Quarter,2º Semestre,2º Semester
2018/set,2018-09-01 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-02 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-03 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-04 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-05 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-06 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-07 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-08 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-09 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-10 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-11 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-12 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-13 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-14 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-15 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-16 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-17 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-18 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-19 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-20 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-21 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-22 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-23 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-24 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-25 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-26 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-27 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-28 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-29 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
2018/set,2018-09-30 00:00:00,September,3º Trimestre,3º Quarter,2º Semestre,2º Semester
